DATE (MM/DD/YYYY),MST,Avg Wind Speed @ 80m [m/s],Avg Wind Speed (std dev) @ 80m [m/s]
3/31/2026,00:00,9.25,0.519
3/31/2026,00:01,8.59,0.848
3/31/2026,00:02,8.59,0.299
3/31/2026,00:03,8.13,0.448
3/31/2026,00:04,8.65,0.341
3/31/2026,00:05,8.18,0.558
3/31/2026,00:06,8.53,0.534
3/31/2026,00:07,9.06,0.609
3/31/2026,00:08,10.01,0.827
3/31/2026,00:09,9.58,0.573
3/31/2026,00:10,9.68,0.606
3/31/2026,00:11,9.69,0.565
3/31/2026,00:12,11.41,0.855
3/31/2026,00:13,11.42,0.725
3/31/2026,00:14,11.2,0.853
3/31/2026,00:15,9.47,0.744
3/31/2026,00:16,9.92,0.922
3/31/2026,00:17,8.91,0.874
3/31/2026,00:18,8.98,1.303
3/31/2026,00:19,7.966,1.38
3/31/2026,00:20,9.19,1.599
3/31/2026,00:21,10.21,0.741
3/31/2026,00:22,9.33,0.816
3/31/2026,00:23,10.11,0.746
3/31/2026,00:24,9.5,0.735
3/31/2026,00:25,9.2,0.978
3/31/2026,00:26,9.19,0.878
3/31/2026,00:27,8.01,0.779
3/31/2026,00:28,9.19,0.998
3/31/2026,00:29,10.37,1.059
3/31/2026,00:30,10.73,1.009
3/31/2026,00:31,10.42,1.04
3/31/2026,00:32,8.91,1.631
3/31/2026,00:33,7.141,1.132
3/31/2026,00:34,8.44,1.72
3/31/2026,00:35,9.25,1.341
3/31/2026,00:36,10.53,0.886
3/31/2026,00:37,10.47,1.239
3/31/2026,00:38,9.39,0.807
3/31/2026,00:39,6.41,1.035
3/31/2026,00:40,4.874,0.553
3/31/2026,00:41,5.204,1.045
3/31/2026,00:42,4.684,0.687
3/31/2026,00:43,5.211,0.521
3/31/2026,00:44,4.195,0.578
3/31/2026,00:45,4.11,0.549
3/31/2026,00:46,3.992,0.589
3/31/2026,00:47,3.924,0.279
3/31/2026,00:48,4.186,0.754
3/31/2026,00:49,6.778,0.596
3/31/2026,00:50,6.516,0.639
3/31/2026,00:51,4.939,0.844
3/31/2026,00:52,4.803,0.772
3/31/2026,00:53,6.126,0.287
3/31/2026,00:54,5.408,0.438
3/31/2026,00:55,4.081,0.48
3/31/2026,00:56,5.072,0.648
3/31/2026,00:57,5.461,0.568
3/31/2026,00:58,5.811,0.692
